City,Population (2010),Color,Latitude (N),Longitude (W),Lat diff,Long diff,hypontenuse (degrees)
Boston,617594,black,42.3581,71.0636,,,
Lowell,106519,black,42.6394,71.3147,-0.2813,-0.2511,0.3770688266
Brockton,93810,black,42.0833,71.0189,0.2748,0.0447,0.2784117993
Quincy,92271,black,42.25,71,0.1081,0.0636,0.1254215691
Lynn,90329,black,42.4667,70.95,-0.1086,0.1136,0.1571589005
Newton,85146,black,42.3369,71.2097,0.0212,-0.1461,0.1476301121
Framingham,68318,black,42.2792,71.4167,0.0789,-0.3531,0.3618077114
Waltham,60632,blue,42.3806,71.235,-0.0225,-0.1714,0.1728705007
Brookline,58732,blue,42.3317,71.1217,0.0264,-0.0581,0.0638166906
Medford,56173,blue,42.4183,71.1067,-0.0602,-0.0431,0.0740381658
Revere,51755,blue,42.4083,71.0125,-0.0502,0.0511,0.0716327439
Salem,41340,pink,42.5168,70.8985,-0.1587,0.1651,0.2290058951
Billerica,40243,pink,42.5583,71.2694,-0.2002,-0.2058,0.2871126608
Beverly,39502,pink,42.558,70.88,-0.1999,0.1836,0.271420283
Marlborough,38499,pink,42.3458,71.5528,0.0123,-0.4892,0.4893546056
Woburn,38120,pink,42.4792,71.1528,-0.1211,-0.0892,0.1504056182
Franklin,31635,pink,42.0833,71.4,0.2748,-0.3364,0.4343731115
Lexington,31394,pink,42.4472,71.225,-0.0891,-0.1614,0.184360435
Norwood,28602,green,42.1944,71.2,0.1637,-0.1364,0.213078976
Wellesley,27982,green,42.2964,71.2931,0.0617,-0.2295,0.2376491952
Stoughton,26962,green,42.125,71.1028,0.2331,-0.0392,0.2363731161
Saugus,26628,green,42.4647,71.0106,-0.1066,0.053,0.1190485615
Dedham,24729,green,42.2417,71.1667,0.1164,-0.1031,0.155494598
Burlington,24498,green,42.5047,71.1961,-0.1466,-0.1325,0.1976051872
Wilmington,22235,green,42.5464,71.1742,-0.1883,-0.1106,0.2183786849
Westford,21951,green,42.5792,71.4383,-0.2211,-0.3747,0.4350693048
Acton,21924,green,42.485,71.4333,-0.1269,-0.3697,0.3908729973
Winchester,21374,green,42.4522,71.1375,-0.0941,-0.0739,0.1196495717
Hudson,19063,red,42.3917,71.5667,-0.0336,-0.5031,0.5042207552
Concord,17668,red,42.4603,71.3494,-0.1022,-0.2858,0.3035234423
Sudbury,17659,red,42.3833,71.4167,-0.0252,-0.3531,0.3539980932
Rockland,17489,red,42.1306,70.9167,0.2275,0.1469,0.2708059453
Maynard,10106,red,42.4333,71.45,-0.0752,-0.3864,0.3936495904
