,,EcoDocs,Thermo,Energy Systems,Photography,Controls,Exercise,Coding for Fun,Music,Foundry,NeuroScouting,Indico,Sailing,Olin Things,Solar Space,Total
Tuesday,1/21/2014,1,,,,,1,,,,,4.5,,,,6.5
Wednesday,1/22/2014,,,,,,1,,,,2,,,,,3
Thursday,1/23/2014,,2.75,,,,0.75,,,1,4,,,,,8.5
Friday,1/24/2014,,0.5,,,,,,,,,,,,,0.5
Saturday,1/25/2014,,,,,2.5,0.5,,,,,3,,,,6
,Totals:,1,3.25,0,0,2.5,3.25,0,0,1,6,7.5,,,,24.5
Sunday,1/26/2014,1.5,,,0.5,2.5,,0.5,,,1.25,,,,,6.25
Monday,1/27/2014,,1.5,,0.5,,0.75,,,,,,,,,2.75
Tuesday,1/28/2014,,2.25,0.25,0.5,,,,,,3.25,,,,,6.25
Wednesday,1/29/2014,,1.25,,0.75,,,,,,4,,,,,6
Thursday,1/30/2014,0.75,0.25,1.75,0.25,,1,,,1.25,,,,,,5.25
Friday,1/31/2014,,,2.75,,,,,,,,,,,,2.75
Saturday,2/1/2014,,,,,,,,,,,,,,,0
,Totals:,2.25,5.25,4.75,2.5,2.5,1.75,0.5,0,1.25,8.5,0,,,,29.25
Sunday,2/2/2014,,,2,1.5,6.25,,,,,,,,,,9.75
Monday,2/3/2014,1.5,0.25,0.75,,1,1,,,,,,,,,4.5
Tuesday,2/4/2014,,0.25,,2.5,,,,,,,,,,,2.75
Wednesday,2/5/2014,0.5,5.25,0.5,,,,,,,1.25,,,,,7.5
Thursday,2/6/2014,4,0.5,2,0.25,,0.75,,,1,,,,,,8.5
Friday,2/7/2014,,,2,,,,,,,,,,,,2
Saturday,2/8/2014,,,,,,,,,,,,,,,0
,,6,6.25,7.25,4.25,7.25,1.75,0,0,1,1.25,0,,,,35
Sunday,2/9/2014,,0.5,,,5.75,,,,1,,,,,,7.25
Monday,2/10/2014,1.25,,1.25,,1.5,1,,,,,,,,,5
Tuesday,2/11/2014,,,,5.25,,,,,,,,,,,5.25
Wednesday,2/12/2014,1.5,5.5,,1.75,,,,,,,,,,,8.75
Thursday,2/13/2014,,0.5,2.5,0.5,,0.75,,,0.5,,,,,,4.75
Friday,2/14/2014,,,1.5,,,,,,,,,,,,1.5
Saturday,2/15/2014,,,,,,1,,,,,,,,,1
,,2.75,6.5,5.25,7.5,7.25,2.75,0,0,1.5,0,0,,,,33.5
Sunday,2/16/2014,,,,,4,,,,1.5,,,,,,5.5
Monday,2/17/2014,,4.5,0.5,,2.25,1,,,,,,,,,8.25
Tuesday,2/18/2014,,1.75,,,0.75,,,,0.25,,,,,,2.75
Wednesday,2/19/2014,,1.75,,,,,1.5,,2.5,1.5,,,,,7.25
Thursday,2/20/2014,1.25,,1.5,,,0.75,,,0.75,,,,,,4.25
Friday,2/21/2014,,,,,,,,,0.75,,,,,,0.75
Saturday,2/22/2014,3,,,,,,1.5,,,,,,,,4.5
,,4.25,8,2,0,7,1.75,3,0,5.75,1.5,0,,,,33.25
Sunday,2/23/2014,,,2.5,3.25,5,,,,,,,,,,10.75
Monday,2/24/2014,0.75,,,1,,1,,,,,,,,,2.75
Tuesday,2/25/2014,,0.75,1.75,0.5,,,1,,,,,,,,4
Wednesday,2/26/2014,,,,2,,,,,,,,,,,2
Thursday,2/27/2014,1.25,,1,,,1,,,1,,,,,,4.25
Friday,2/28/2014,,0.5,1.5,,,1.25,,1.25,,,,,,,4.5
Saturday,3/1/2014,,,,3.5,0.25,,,,,,,,,,3.75
,,2,1.25,6.75,10.25,5.25,3.25,1,1.25,1,0,0,,,,32
Sunday,3/2/2014,,,1.25,0.25,6.75,,,,,,,,,,8.25
Monday,3/3/2014,1.25,,,0.5,2.25,1.25,,,,,,,,,5.25
Tuesday,3/4/2014,0.75,1.5,,,,,,,,,,,,,2.25
Wednesday,3/5/2014,,1.5,,1.5,,,,,,,,,,,3
Thursday,3/6/2014,,0.25,1.5,1.5,1.25,1,,,1.25,,,,,,6.75
Friday,3/7/2014,2.25,,,,1,,,,,,,,,,3.25
Saturday,3/8/2014,,,,,,0.75,,,,,,,,,0.75
,,4.25,3.25,2.75,3.75,11.25,3,0,0,1.25,0,0,,,,29.5
Sunday,3/9/2014,,,0.5,,1.5,,,,,,,,,,2
Monday,3/10/2014,,0.25,2.75,,0.5,0.5,,,,,,,,,4
Tuesday,3/11/2014,,,,,2,,,,,,,,,,2
Wednesday,3/12/2014,,,,1,4,,,,,,,,,,5
Thursday,3/13/2014,,,,,2,0.75,,,,,,,,,2.75
Friday,3/14/2014,,,,,,,,,,,,,,,0
Saturday,3/15/2014,,,,,,,,,,,,,,,0
,,0,0.25,3.25,1,10,1.25,0,0,0,0,0,,,,15.75
Sunday,3/16/2014,,,,,,,,,,,,,,,0
Monday,3/17/2014,,,,,,2,,1,,,,,,,3
Tuesday,3/18/2014,,,,,,,,,,,,,,,0
Wednesday,3/19/2014,,,,,,2,,1,,,,,,,3
Thursday,3/20/2014,,,3,,,,,,,,,,,,3
Friday,3/21/2014,2.75,,,,,,,,,,,,,,2.75
Saturday,3/22/2014,,1.5,,,,,,,,,,,,,1.5
,,2.75,1.5,3,0,0,4,0,2,0,0,0,,,,13.25
Sunday,3/23/2014,2.5,,2.5,,,,,,,,,,,,5
Monday,3/24/2014,,0.25,2.75,,,1,,,,,,,,,4
Tuesday,3/25/2014,,2.75,2.25,,2,,,,,,,,,,7
Wednesday,3/26/2014,,1.25,3.75,,3.25,,,,,,,,,,8.25
Thursday,3/27/2014,0.5,3,0.75,,,0.75,,,0.75,,,,,,5.75
Friday,3/28/2014,,0.5,2,,,,8,,,,,,,,10.5
Saturday,3/29/2014,,,,,,,,,,,,,,,0
,,3,7.75,14,0,5.25,1.75,8,0,0.75,0,0,,,,40.5
Sunday,3/30/2014,,,6.5,2,,,,,,,,,,,8.5
Monday,3/31/2014,1,2,,2.75,,0.75,,,,,,,,,6.5
Tuesday,4/1/2014,,3,,1.75,0.5,,,,,,,1,,,6.25
Wednesday,4/2/2014,,1.75,,,,,,,,,,,3.5,,5.25
Thursday,4/3/2014,,1,3,,0.5,1,,,1,,,,,,6.5
Friday,4/4/2014,,,4.5,,,,,,,,,,,,4.5
Saturday,4/5/2014,3,,0.25,,,,,,,,,,,,3.25
,,4,7.75,14.25,6.5,1,1.75,0,0,1,0,0,1,3.5,,40.75
Sunday,4/6/2014,,0.5,,3,,,1,,,,,,,,4.5
Monday,4/7/2014,0.5,,,,0.25,1,,,,,,,,,1.75
Tuesday,4/8/2014,1,,,,,,,,,,,1.25,,1,3.25
Wednesday,4/9/2014,1.75,2.5,4,,4,,,,,,,,,,12.25
Thursday,4/10/2014,1,,1,,2,0.75,,,,,,,,,4.75
Friday,4/11/2014,2.25,,,,2,,,,,,,,0.5,,4.75
Saturday,4/12/2014,,,,,,1,,,,,,,,,1
,,6.5,3,5,3,8.25,2.75,1,0,0,0,0,1.25,0.5,1,32.25
Sunday,4/13/2014,,3.25,0.75,0.5,,,,,,,,,,,4.5
Monday,4/14/2014,1.25,0.5,,0.25,,1,,0.5,,,,,,,3.5
Tuesday,4/15/2014,0.75,,2,1,,,,1,,,,0.75,,2.25,7.75
Wednesday,4/16/2014,1,1.25,,0.25,5.25,,,0.5,,,,,,,8.25
Thursday,4/17/2014,,0.75,1.5,,1.25,,,,,,,,,,3.5
Friday,4/18/2014,,,,,,,,,,,,,,,0
Saturday,4/19/2014,,,,,,,,,,,,,,,0
,,3,5.75,4.25,2,6.5,1,0,2,0,0,0,0.75,0,2.25,27.5
